Sno,review,vader_compound,vader_neg,vader_new,vader_pos,Vader_Sentiment,Company
0,"We are currently doing our research into the possibility of getting a Tesla and weighing all the factors into such a major purchase. Last Friday I came in and chatted with Rotex who is one of the customer representatives. He answered all my questions with a zero pressure feel, which I appreciated. Our family is considering either the model 3 or the Y, however we were concerned over whether it would fit in our garage in the City. He mentioned that he can answer that question easily by doing a garage fit. It's only specific to SF customers since our old houses have sometimes challenging garages. He said he can come over today, Monday to do the fit. He called 45 mins before the appointment to insure there would be no issues on our meeting time which was very considerate.He arrived and easily fit in the garage and went over some interesting features on the car. I was also concerned over cargo room and prepared a large roller, 22 inch carry on and a stroller and asked him if I can try to fit it on the trunk. He was very accommodating and we both figured out how it would fit. It swallowed it up with room to spare.At least we know that we can go with either model, and if we go smaller, we won't have to worry about not enough room.He said if I had any questions and if we want to set up a road test, just call him.I have to say this was a refreshingly nice experience and it only makes it easier to go with this super innovative company.Great job Tesla.",0.9889,0.015,0.827,0.158,Positive,Tesla
1,"This dealership has owed me $21,000 for the past 4 months. It's outrageous. I bought a car partially financed back in June and then decided I wanted a different color. So I took advantage of their 7-day return policy and returned the first car. Then I decided to lease instead. They told me that it might take a month or two to receive the refund for the first car, which sounded a little bit long to me. But I waited. After 2 months I started calling the dealership and Tesla finance to inquire about the $21K. Sometimes they would tell me that the check is in the mail. Sometimes they made it sound like they had lost the car! Nobody ever got back to me, despite promising to. I eventually wrote a threatening letter to Tesla corporate and that seemed to prompt some action. They had me come in a month ago to sign some DMV paperwork they had forgotten to have me sign before. Yet, they couldn't tell me when I would receive my refund. Nobody is returning my calls at this point. This experience has been so painful that I'm thinking about returning the Tesla I have. I l love the car but the company itself is a mess. I'm going to hire a lawyer this week and sue them.",-0.9145,0.104,0.848,0.047,Negative,Tesla
2,"During my first time I went into the San Francisco Tesla for service, the technician was able to identify the issues. 1. My car's trunk opened in the middle of the freeway.2. My car was making weird noises when making full turns.However, there were no loaners and my service adviser Sheri offers me $100/day Uber credits for commute or reschedule for an appointment. My daily commute is about 40miles to work one way and it would cost more than $100/day to take Uber, so I did not want to take that option. Sheri promised me if I reschedule for 2 weeks later, she will guarantee a loaner for me. She even puts that on the notes for my next appointment to reserve a vehicle with carpool lane sticker for me. Two weeks later, I went in for my rescheduled appointment and Sheri told me there is no loaner, so she will give me Uber credits. I told her the only reason for the reschedule was because you did not have a loaner for me 2 weeks ago and you guaranteed me you will get me one this time. Are you saying there were no one returning a loaner for the past 2 weeks? Sheri replied with ""Nothing can be guarantee. We can only give you Uber credits."" I was unhappy but unwilling to take another day off to go in for service because they do not open on weekends. I even took Uber screenshots and showed her my one way trip goes over $100 each way. I ended up taking other transportation to work that week after spending all the Uber credits.On a Friday, Sheri told me the car is fixed and they could deliver the car back to my house for free. I said I will take that service please. I asked her about what was done to the car and she informed me about the service. The trunk parts were replaced for free and they found debris inside my rotors that were causing the noises. And because they did not have to replace any parts for the turning issue, it means Tesla is not at fault and the charge would be $195. I disagreed with the charge because my car is only a year old and warranty should cover for the problem. She then ignores me and would not reply to my calls or texts. There were no communication at all and the car was not delivered to my house that Friday. On the next Monday, I called in and text her again in the morning. She ignores me again... I am going to assume she has a hangover or something so she could not go to work on Monday. I went into SF myself to get my car(Uber credits expired on Saturday), so I am paying to drive there even though they are suppose to deliver me the car on Friday. I talked to the first guy I saw and his name is David. He helped me cover the $195 using my warranty because they did find issues with the car creating the noise and my car is only a year old. Hence, I am giving this review a 2 stars because David is very nice and professional.",0.9431,0.044,0.888,0.068,Positive,Tesla
3,"Aside from my strong feelings as a usability researcher that the Tesla 3's UI is terrible if not dangerous for people driving a car (the primary job of this piece of metal), this dealership was meh in convincing me I should go for it against my better judgment. Ha! Context: I actually am looking for a new car. The 3 is within the price range we'd consider and I can charge for free at work and get valet parking. Given regular parking at work is like a daily re-enactment of lord of the flies, i could be swayed to fork over extra to regain 15 minutes of sanity in the morning. Pros: Sexy cars, obviously. I can charge said sexy car at work and save a bundle. Cute kid area to entertain your small dependents while waiting for a test drive. The 3 and its luxurious counterparts are up for playing with in the showroom. Cons: In the middle of the bleeping city. If you're looking for a test drive, a block away in either direction is a busy street. If you wanted to test the vehicle for zippiness or speed I challenge you to find a driver adjacent to you who will give you the space. I'd recommend going to another dealership in any quieter area where you can actually exercise any speedy attributes this car has. Keep in mind as other reviews have mentioned, you're responsible for damages (or at least that's what the signoff states, and the guy who handed me the keycard asked if I had insurance). The people working there act like you should know all the expected esoteric shit these cars want you to do. Why do you think I'm here seeing this thing in person? No, really, tell me how to turn off this stupid ho ho ho Santa mode crap because the instructions on screen are actually not working (what other controls are inaccurate here?). Disorganized way of setting up test drives. We must have been there for 45 minutes having talked to a guy early on who said ok we are good to get the next drive available. Next, we find out we had to sign in etc and need to now wait for everyone else in the queue for longer. Given how disorganized the place was I can't imagine what getting service for these vehicles is like, given the fact you can't really go elsewhere. Sounds appealing.... They call us a few days later asking if we're ready to buy one. Like literally in the first minute of the convo. Nope nope nope!! Rather stay in my 2009 Honda hooptie with the paint peeling off. Fix your UI and your attitude and I'd consider it.",0.9826,0.055,0.821,0.124,Positive,Tesla
4,"Quick delivery by Lee.  Detailed explanation and car was perfect.  No hard copy of any paperwork (eco friendly), all pdf on your tesla account to view or print out if you like.No talking to a finance guy on extended warranties or clear bras or upsells.Easy pick up of car ever.  Everything was done online.  Come in, sign a few spots, and drive off.",0.5719,0.054,0.852,0.094,Positive,Tesla
5,"Love the technology. Hate the service. The person I worked with are rude, condescending.They never called me to tell me my car was ready. When I called into inquire about the status, I was put on hold for 14 minutes. No check in during that time I was on the phone, just made me hold the entire time.When I arrive to pick up the car, I gave them my name and the color and model number of my car. The representative checking for my car kept on typing on the computer, it seemed like he could not find my car. Important note, my car was towed in from Tesla roadside service. It seems like he could not find my car on the system, so I asked ""is was my car here?"" And he replied ""don't jump to conclusions, I will find your car. ""I replied, ""I'm not jumping to conclusions, I'm just inquiring if you have my car.""He then showed me to their waiting room and seemed very upset. At this point I still did not know if they had my car.I noticed he was on the phone and talking to multiple people outside the glass door waiting room. Eventually, I saw him drive my Model 3 into the service center. He motioned me over to my car. Still unhappy with the communication during this service pick up, I asked what his name was. He said ""John"". I asked, ""John, what is your last name?"". He replied ""Smith"".",-0.2853,0.058,0.883,0.06,Neutral,Tesla
6,"Wow, unbelievable. There is person working there who goes by C.K. who is incredibly rude. He refused to give his name (had to ask his co-workers for the name) He was just yelling at me, telling me that he doesn't like me, refusing to help and asking me to call him Rambo if I want to?! This was my second interaction with him, and it's horrible. He actually told me that he will call security on me because I asked his co-workers about his name. What a shame! I truly like Tesla but leaving people like him to work makes me hate that place.Don't go there unless you really have to. I had a wonderful experience with the people in the Marin office.",-0.5359,0.142,0.733,0.124,Negative,Tesla
7,"I had an excellent car shopping experience at this dealership, which operates far above and beyond the average semi-predatory car dealership. I experienced low to no pressure, as the salesperson - Renee - let the car sell itself. There is no negotiating on price, which takes a little away from being able to enjoy a sense of fighting for a good deal, but it was also a relief to forgo all of the preparatory research, intense negotiations, and the inevitable and exhausting rounds of, ""Let me see what my manager thinks."" You don't have to commit an entire day of your life to buy a car from this dealership; the process is straightforward, streamlined and fast. Everyone I spoke with was pleasant, helpful and friendly, a welcome change from the stressed out faces and clipped responses I've experienced at other dealerships when dealing with anyone other than my salesperson. Sales is a difficult and honorable profession, and it's always a pleasure to see it done right, as it is at this dealership.",0.9726,0.102,0.705,0.194,Positive,Tesla
8,how much does a tesla cost? and the official lamborghini service center tie in at this location? wow that's expensive stuff. then do us all a favor sweep the sidewalks. pick up all the trash. it is a store's responsibility - keep it clean.,0.8611,0,0.795,0.205,Positive,Tesla
9,"We had an extremely negative experience at Tesla. After our test drive and leaving the show room, I was called and told we were liable for $200 for ""tire damage."" After speaking with a manager I was then emailed a charge for $250. No explanation or photo of tire damage, reason, etc..I wish I had looked at similar reviews about the liability agreements and similar charges before test driving. The entire experience left us with a very negative feeling about Tesla and the Van Ness location in particular. As the brand becomes more mainstream, I hope their customer service shifts to be in line with other luxury brands.",-0.8191,0.146,0.771,0.083,Negative,Tesla
